label,id,date,stuff,name,text
"0","2284311891","Mon Jun 22 13:43:42 PDT 2009","NO_QUERY","kaysleecolleen","@ddlovato so sorry about your voice  just know that your fans, like me, support you no matter what! we know that you give it your all..."
"4","1831238993","Sun May 17 18:29:28 PDT 2009","NO_QUERY","vpennino","@ListPlanIt I prefer a nice pen with a thick pad of paper!  "
"0","1694978230","Mon May 04 04:48:29 PDT 2009","NO_QUERY","theweirdwriter","Gloomy day here  I know that we need the rain, but it doesn't mean I have to like it."
"4","2181702252","Mon Jun 15 12:10:56 PDT 2009","NO_QUERY","AndreMJonesJr","@Summa_Reign ooooh.  well let's keep our fingers crossed then! "
"0","2182272034","Mon Jun 15 12:57:10 PDT 2009","NO_QUERY","themaineisluvx3","It sucks when the guy you like likes someone else  kinda bad mood now"
"0","2050655071","Fri Jun 05 19:03:37 PDT 2009","NO_QUERY","amywong26","@richardtsang I was outside on the field of grass. My sis was dragging me around to take pictures of her and every bloody classmate! "
"0","1978119622","Sat May 30 22:29:37 PDT 2009","NO_QUERY","nanchunja","Just finished ball. Facing the reality of assignments now. "
"4","2191518259","Tue Jun 16 05:26:36 PDT 2009","NO_QUERY","davidaguirre","'How can you live with yourself you horrible man?!' 'He drink's!' Two and a half men ist einfach zu gut "
"4","1970545153","Sat May 30 04:17:39 PDT 2009","NO_QUERY","ohdesu","IM WITH PIGGGGY "
"4","2185464930","Mon Jun 15 17:25:20 PDT 2009","NO_QUERY","Doll_Doll","is watching Fringe. Josh Jackson will always be Cahrlie Conway to me, fuck Pacey!  Favourite Mighty Ducks film?"
"0","2051054429","Fri Jun 05 19:46:42 PDT 2009","NO_QUERY","changdice","@presssquare Yeah see I have to buy the two together or I can't get free shipping. (But even that isn't enough  )"
"4","2057010344","Sat Jun 06 12:12:15 PDT 2009","NO_QUERY","taethediva","@TheCounter "
"4","2046637428","Fri Jun 05 12:28:26 PDT 2009","NO_QUERY","SkiingExaminer","Changed my twitter page bkgd. Can you name the ski resort? It's a pretty easy one. FOCUS ON WORK NOW, not random stuff like Twitter bkgd "
"0","1880805591","Fri May 22 02:34:13 PDT 2009","NO_QUERY","charlenebriffa","rookies tonight...one of the last couple of surviving rock bars "
"4","1970717401","Sat May 30 04:57:49 PDT 2009","NO_QUERY","alli_cat141","@arabidopsis no me either "
"0","2211290764","Wed Jun 17 12:40:25 PDT 2009","NO_QUERY","snugglebear0510","I have do u give them in return  "
"0","2064176746","Sun Jun 07 05:28:38 PDT 2009","NO_QUERY","haselhurst","Bored of Facebook now. Nothing is happening.  What to do for half an hour..."
"4","1970985443","Sat May 30 05:52:25 PDT 2009","NO_QUERY","Solstan","Been a good girl and cleaned the whole apartment  and now I cant wait for tonight"
"0","2064041028","Sun Jun 07 05:01:27 PDT 2009","NO_QUERY","marjamma","@DiVert23 if you're comfy it's fine. I'm really not comfy, none of my clothes fit and my cholesterol is through the roof "
"4","1881462177","Fri May 22 04:44:00 PDT 2009","NO_QUERY","eReichCartman","Awwww  and yes, he does look like a Lycan, hahahaha"
"4","1989182609","Mon Jun 01 00:37:31 PDT 2009","NO_QUERY","Makhianrrrrr","@imredkewl wow havies for your collection! how many pairs do you have now? "
"4","1976888048","Sat May 30 19:26:32 PDT 2009","NO_QUERY","quietyourcackle","volleyball was a fantastic idea today. "
"4","1791673253","Wed May 13 20:46:27 PDT 2009","NO_QUERY","Tinkergell","@SookieBonTemps WINK "
"4","1973314632","Sat May 30 10:54:39 PDT 2009","NO_QUERY","ChristyHB","going to Faith's 1st bday, then dinner with the Baynes! "
